review_id,target
3,0
4,0
13,8
14,8
17,0
23,8
24,0
26,8
34,8
36,0
39,0
40,8
46,0
50,0
52,0
60,0
61,8
62,0
70,8
72,8
75,0
77,0
78,8
80,0
83,8
85,0
86,0
88,8
89,8
94,8
97,8
102,0
103,8
107,8
108,8
112,8
120,0
126,8
129,8
130,0
131,8
136,0
140,0
142,0
155,0
162,8
165,0
166,0
175,0
178,8
180,8
182,8
188,8
190,0
193,8
194,8
197,8
204,8
207,8
210,8
212,0
217,8
218,0
219,0
222,0
223,8
225,0
235,0
242,8
245,8
246,0
247,8
251,8
255,8
256,0
267,0
268,8
269,8
282,8
286,8
287,0
294,0
303,8
307,0
310,0
312,8
313,0
319,8
320,0
326,0
332,0
334,0
340,0
341,0
343,8
344,0
345,0
349,8
350,8
353,0
354,0
358,8
360,0
361,8
366,0
376,8
380,8
382,0
384,0
386,8
387,0
390,8
392,8
397,0
398,0
399,8
403,8
409,8
417,8
421,8
424,8
430,8
432,8
433,8
436,0
437,8
440,0
441,0
444,8
448,0
451,8
452,8
462,8
463,0
466,0
467,0
469,0
471,8
477,0
492,0
494,0
496,8
498,8
500,8
506,0
509,0
516,8
520,8
521,8
527,8
532,8
534,0
555,0
559,8
564,8
567,8
571,0
577,8
583,8
586,0
588,8
589,0
594,0
598,8
601,0
603,0
615,8
617,0
619,0
625,0
627,0
629,0
631,8
637,8
640,8
642,8
650,0
652,8
656,8
657,8
673,0
681,8
691,0
695,8
700,8
703,"1,8"
705,0
712,0
716,0
719,0
726,8
728,8
729,8
733,0
734,8
736,0
737,0
743,8
746,0
753,0
756,8
758,0
759,8
764,8
766,8
767,8
775,8
779,8
780,8
782,0
789,8
794,8
795,0
796,0
797,0
798,8
799,8
801,0
802,8
803,0
804,0
805,0
807,8
809,0
810,8
813,8
815,0
826,0
832,8
834,0
837,0
838,8
840,8
847,8
852,0
853,0
854,0
856,8
857,8
860,8
865,0
866,8
869,8
872,0
873,8
877,8
879,8
887,8
889,0
894,8
904,0
908,8
911,0
914,0
918,0
919,8
924,0
926,0
929,0
934,0
935,1
937,8
938,0
939,8
947,8
956,8
959,8
964,0
967,0
969,0
974,8
977,8
979,8
981,0
983,8
987,0
990,8
993,8
999,0
1001,0
1004,0
1014,8
1020,8
1032,8
1034,8
1035,0
1036,8
1053,0
1063,8
1064,8
1068,8
1074,8
1077,0
1080,8
1082,8
1090,0
1094,0
1095,8
1096,8
1100,0
1102,8
1110,8
1112,8
1115,8
1118,0
1119,8
1120,8
1123,8
1126,8
1135,0
1138,8
1139,0
1140,"1,8"
1149,8
1153,8
1157,0
1159,0
1160,0
1162,8
1163,8
1165,0
1168,0
1171,8
1172,0
1183,0
1184,0
1185,0
1186,0
1189,0
1190,0
1192,8
1195,8
1201,8
1205,0
1213,0
1217,0
1218,0
1223,0
1226,0
1228,0
1229,8
1240,0
1244,8
1245,0
1253,8
1255,8
1256,0
1261,8
1264,0
1269,8
1271,0
1273,8
1275,8
1278,8
1280,0
1281,0
1288,8
1289,8
1294,8
1295,8
1298,"1,8"
1301,0
1303,0
1304,0
1316,8
1319,0
1320,8
1323,0
1326,0
1340,0
1341,0
1350,8
1354,8
1355,0
1356,0
1359,0
1364,8
1366,0
1367,8
1368,8
1369,0
1370,0
1379,8
1384,8
1387,8
1388,0
1390,"1,8"
1393,0
1396,0
1398,0
1401,8
1402,8
1403,0
1408,0
1416,0
1417,0
1419,8
1422,0
1423,0
1425,0
1426,8
1427,8
1433,8
1434,8
1439,8
1442,8
1445,8
1448,8
1451,8
1461,8
1463,0
1464,8
1465,0
1467,8
1472,0
1474,8
1478,8
1481,8
1486,8
1493,0
1500,8
1506,8
1507,0
1511,8
1514,8
1517,0
1525,8
1526,8
1528,8
1530,8
1536,8
1539,0
1542,0
1546,0
1547,8
1550,8
1551,0
1554,0
1555,8
1563,0
1567,0
1570,8
1572,0
1577,0
1578,0
1579,0
1583,8
1590,8
1591,0
1593,8
1599,8
1601,8
1610,0
1612,0
1616,8
1617,8
1618,8
1625,8
1627,0
1630,8
1632,8
1637,0
1640,8
1641,0
1645,0
1649,0
1653,0
1656,0
1660,8
1663,8
1666,0
1667,8
1669,0
1678,0
1679,8
1682,8
1687,0
1697,0
1700,0
1702,0
1703,8
1706,8
1709,0
1719,8
1720,"1,8"
1732,0
1734,8
1738,0
1742,8
1743,0
1744,8
1745,0
1748,8
1749,8
1750,8
1752,0
1759,0
1762,8
1764,8
1766,8
1771,8
1782,0
1784,8
1792,0
1803,0
1804,8
1805,8
1809,0
1810,0
1813,8
1816,8
1822,0
1829,0
1839,8
1843,0
1847,0
1850,8
1854,0
1862,8
1863,0
1864,0
1865,0
1868,8
1871,0
1876,8
1886,0
1891,0
1900,8
1913,8
1915,8
1920,0
1926,8
1933,0
1939,0
1943,0
1952,0
1969,8
1972,"1,8"
1973,8
1979,8
1980,8
1987,0
1992,0
1993,8
1994,0
1999,0
2002,0
2003,0
2012,0
2015,8
2020,8
2024,8
2027,8
2030,0
2039,8
2045,8
2048,8
2050,8
2052,0
2055,8
2057,8
2061,0
2064,8
2071,0
2072,8
2074,8
2075,0
2077,0
2081,8
2087,1
2088,0
2089,0
2093,8
2095,0
2101,0
2106,0
2118,3
2123,8
2125,0
2130,0
2135,8
2137,8
2138,8
2146,0
2148,0
2156,8
2159,8
2160,0
2164,0
2169,8
2191,0
2193,0
